manufacturercode,manufacturername,sectorcode,sectorname,mediacode,medianame,categorycode,categoryname,segmentcode,segmentname,recordcount,percent,yyyyqqretailereow
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,10,Household Maintenance Products,1,Food,194,0.00000284,201601
9999999999,ALL,2,Dry Grocery,202,FSI,5,Milk,1,Food,3033,0.00004445,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,273,0.00000400,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,142,0.00000208,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,290,0.00000425,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Health Aids & Remedies,1,Food,35,0.00000051,201601
9999999999,ALL,2,Dry Grocery,202,FSI,3,Medical Test Kits & Devices,1,Food,52,0.00000076,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,3,Bread & Baked Goods - Shelf Stable,1,Food,596,0.00000873,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Household Maintenance Products,1,Food,24,0.00000035,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,21,"Spices, Seasonings & Extracts",1,Food,18,0.00000026,201601
9999999999,ALL,2,Dry Grocery,202,FSI,5,Grooming Accessories & Cosmetic Applicators,1,Food,329,0.00000482,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,13,Yogurt,1,Food,19,0.00000028,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Condiments/Dips/Gravies/Sauces,1,Food,10785,0.00015805,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,5,Candy & Gum,1,Food,11,0.00000016,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,14,Meat & Seafood - Canned,1,Food,620,0.00000909,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Baby Hygiene,1,Food,57,0.00000084,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,5,Milk,1,Food,84,0.00000123,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Beer/Wine/Liquor/Cocktail Additives,1,Food,393,0.00000576,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Automotive,1,Food,442,0.00000648,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,11,Skin Creams & Lotions/Facial Cleansers,1,Food,890,0.00001304,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,10,Fruit - Dried & Canned,1,Food,106,0.00000155,201601
9999999999,ALL,2,Dry Grocery,202,FSI,10,Shaving Supplies,1,Food,4293,0.00006291,201601
9999999999,ALL,2,Dry Grocery,202,FSI,21,Toys,1,Food,1244,0.00001823,201601
9999999999,ALL,2,Dry Grocery,1299,Military,5,Candy & Gum,1,Food,4,0.00000006,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,1736,0.00002544,201601
9999999999,ALL,2,Dry Grocery,202,FSI,7,Chips/Pretzels/Popcorn,1,Food,64,0.00000094,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Heat & Eat Prepared Foods,1,Food,93,0.00000136,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,1655,0.00002425,201601
9999999999,ALL,2,Dry Grocery,202,FSI,11,Kitchen Items & Appliances,1,Food,23517,0.00034464,201601
9999999999,ALL,2,Dry Grocery,202,FSI,9,Meat/Poultry/Seafood,1,Food,20,0.00000029,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Milk,1,Food,974,0.00001427,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Bread Products,1,Food,31,0.00000045,201601
9999999999,ALL,2,Dry Grocery,202,FSI,1,Beer/Wine/Liquor/Cocktail Additives,1,Food,12924,0.00018940,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Breakfast Foods,1,Food,234,0.00000343,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Grooming Accessories & Cosmetic Applicators,1,Food,365,0.00000535,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Coffee Creamers & Hot Chocolate Mix,1,Food,558,0.00000818,201601
9999999999,ALL,2,Dry Grocery,202,FSI,3,Desserts,1,Food,17,0.00000025,201601
9999999999,ALL,2,Dry Grocery,202,FSI,9,Household Cleaners & Supplies,1,Food,26,0.00000038,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,22,Sugar/Sweeteners/Syrups,1,Food,34,0.00000050,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Heat & Eat Prepared Foods,1,Food,4,0.00000006,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,11,Kitchen Items & Appliances,1,Food,84,0.00000123,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Deodorant,1,Food,1,0.00000001,201601
9999999999,ALL,2,Dry Grocery,202,FSI,5,Milk,1,Food,483,0.00000708,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,4,Fruit,1,Food,1243,0.00001822,201601
9999999999,ALL,2,Dry Grocery,202,FSI,7,Chips/Pretzels/Popcorn,1,Food,558,0.00000818,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts,1,Food,25,0.00000037,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,14,Meat & Seafood - Canned,1,Food,1211,0.00001775,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Cheese,1,Food,753,0.00001104,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Clothing & Undergarments,1,Food,4,0.00000006,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,16,Photo & Computer Supplies,1,Food,117,0.00000171,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Yogurt - Shakes & Drinks,1,Food,1309,0.00001918,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Heat & Eat Prepared Foods,1,Food,153239,0.00224569,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Health Aids & Remedies,1,Food,1,0.00000001,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,69,0.00000101,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,10,Shaving Supplies,1,Food,5430,0.00007958,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,8,Condiments/Dips/Gravies/Sauces,1,Food,9,0.00000013,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Ice Cream & Frozen Yogurt,1,Food,10245,0.00015014,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Heat & Eat Prepared Foods,1,Food,6,0.00000009,201601
9999999999,ALL,2,Dry Grocery,202,FSI,10,Fruit - Dried & Canned,1,Food,44680,0.00065478,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Meal & Side Dish Mixes & Kits,1,Food,21,0.00000031,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Condiments/Dips/Gravies/Sauces,1,Food,39,0.00000057,201601
9999999999,ALL,2,Dry Grocery,202,FSI,7,Yogurt - Shakes & Drinks,1,Food,27,0.00000040,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,11,Sour Cream & Whipped Cream - Canned,1,Food,3564,0.00005223,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Clothing & Undergarments,1,Food,62,0.00000091,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,4,0.00000006,201601
9999999999,ALL,2,Dry Grocery,202,FSI,2,Breakfast Foods,1,Food,97,0.00000142,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,4,"Charcoal, Logs & Accessories",1,Food,90,0.00000132,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Deodorant,1,Food,6,0.00000009,201601
9999999999,ALL,2,Dry Grocery,202,FSI,3,Deodorant,1,Food,374,0.00000548,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,2,0.00000003,201601
9999999999,ALL,2,Dry Grocery,202,FSI,9,Meat/Poultry/Seafood,1,Food,3345,0.00004902,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,4,Juice,1,Food,796,0.00001167,201601
9999999999,ALL,2,Dry Grocery,202,FSI,3,Desserts & Whipped Cream Tub,1,Food,38,0.00000056,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,4,Prescription Medications & Devices,1,Food,137,0.00000201,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Deodorant,1,Food,140,0.00000205,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Milk,1,Food,54,0.00000079,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,"Crackers, Cookies & Snack Bars",1,Food,70,0.00000103,201601
9999999999,ALL,2,Dry Grocery,202,FSI,11,Skin Creams & Lotions/Facial Cleansers,1,Food,3989,0.00005846,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,11,Kitchen Items & Appliances,1,Food,1,0.00000001,201601
9999999999,ALL,2,Dry Grocery,202,FSI,11,Skin Creams & Lotions/Facial Cleansers,1,Food,16064,0.00023542,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,11,Skin Creams & Lotions/Facial Cleansers,1,Food,609,0.00000892,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Oral Hygiene,1,Food,3398,0.00004980,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Bread Products,1,Food,111,0.00000163,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,14,Pesticides,1,Food,95,0.00000139,201601
9999999999,ALL,2,Dry Grocery,202,FSI,9,Meat/Poultry/Seafood,1,Food,53293,0.00078100,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Eggs,1,Food,9833,0.00014410,201601
9999999999,ALL,2,Dry Grocery,1299,Military,14,Meat & Seafood - Canned,1,Food,503,0.00000737,201601
9999999999,ALL,2,Dry Grocery,202,FSI,11,Heat & Eat - Canned or Packaged,1,Food,2147,0.00003146,201601
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,3,Books & Magazines,1,Food,3818,0.00005595,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,1,0.00000001,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,3396,0.00004977,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,10,Shaving Supplies,1,Food,1362,0.00001996,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Yogurt - Shakes & Drinks,1,Food,2637,0.00003864,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Vegetables,1,Food,1004,0.00001471,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,4,Prescription Medications & Devices,1,Food,18,0.00000026,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,21,"Spices, Seasonings & Extracts",1,Food,27,0.00000040,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Baby Food,1,Food,566,0.00000829,201601
