manufacturercode,manufacturername,sectorcode,sectorname,mediacode,medianame,categorycode,categoryname,segmentcode,segmentname,recordcount,percent,yyyyqqretailereow
9999999999,ALL,2,Dry Grocery,202,FSI,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,192,0.00000257,201602
9999999999,ALL,2,Dry Grocery,1299,Military,2,First Aid,1,Food,1,0.00000001,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,23,Vegetables - Canned & Dried,1,Food,201,0.00000269,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,9,"Crackers, Cookies & Snack Bars",1,Food,94,0.00000126,201602
9999999999,ALL,2,Dry Grocery,202,FSI,3,Coffee Creamers & Hot Chocolate Mix,1,Food,53,0.00000071,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Heat & Eat Prepared Foods,1,Food,202,0.00000270,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Clothing & Undergarments,1,Food,150,0.00000201,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Butter & Margarine,1,Food,21,0.00000028,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Baby Hygiene,1,Food,35,0.00000047,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Eggs,1,Food,966,0.00001291,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Baby Hygiene,1,Food,8115,0.00010847,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,8,Condiments/Dips/Gravies/Sauces,1,Food,1744,0.00002331,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Fragrances & Gift Sets,1,Food,80,0.00000107,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,317,0.00000424,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Breakfast Foods - Shelf Stable,1,Food,123,0.00000164,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,"Hand Cleanser, Bath Soap & Body Wash",1,Food,256,0.00000342,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Yogurt - Shakes & Drinks,1,Food,234,0.00000313,201602
9999999999,ALL,2,Dry Grocery,202,FSI,9,"Crackers, Cookies & Snack Bars",1,Food,1868,0.00002497,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,4,Dough Products,1,Food,166,0.00000222,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,4,Prescription Medications & Devices,1,Food,1938,0.00002590,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Meat/Poultry/Seafood,1,Food,1176,0.00001572,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Automotive,1,Food,196,0.00000262,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,22,Trash Bags,1,Food,10540,0.00014089,201602
9999999999,ALL,2,Dry Grocery,1299,Military,2,First Aid,1,Food,145,0.00000194,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,3886,0.00005194,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,7,Foil/Plastic Wrap & Bags/Plastic Containers,1,Food,32,0.00000043,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Juice,1,Food,48,0.00000064,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Baby Food,1,Food,57,0.00000076,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,7,Yogurt - Shakes & Drinks,1,Food,1490,0.00001992,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,2,Cheese,1,Food,29,0.00000039,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Bread Products,1,Food,7409,0.00009903,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,137,0.00000183,201602
9999999999,ALL,2,Dry Grocery,202,FSI,9,Household Cleaners & Supplies,1,Food,1090,0.00001457,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Cheese,1,Food,39,0.00000052,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Beer/Wine/Liquor/Cocktail Additives,1,Food,96,0.00000128,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,16,Photo & Computer Supplies,1,Food,604,0.00000807,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Baby Hygiene,1,Food,78,0.00000104,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,8,Meal & Side Dish Mixes & Kits,1,Food,7,0.00000009,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,5,Grooming Accessories & Cosmetic Applicators,1,Food,3523,0.00004709,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,14,Meat & Seafood - Canned,1,Food,231,0.00000309,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Foil/Plastic Wrap & Bags/Plastic Containers,1,Food,84,0.00000112,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,4,"Charcoal, Logs & Accessories",1,Food,236,0.00000315,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Coffee & Tea,1,Food,461,0.00000616,201602
9999999999,ALL,2,Dry Grocery,1299,Military,8,Meal & Side Dish Mixes & Kits,1,Food,249,0.00000333,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Household Maintenance Products,1,Food,38,0.00000051,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,Meat/Poultry/Seafood,1,Food,16875,0.00022557,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Shaving Supplies,1,Food,40,0.00000053,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,243,0.00000325,201602
9999999999,ALL,2,Dry Grocery,1299,Military,11,Sour Cream & Whipped Cream - Canned,1,Food,221,0.00000295,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,23,Vegetables - Canned & Dried,1,Food,20,0.00000027,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,Vegetables,1,Food,516,0.00000690,201602
9999999999,ALL,2,Dry Grocery,202,FSI,2,Baking Mixes/Ingredients/Supplies,1,Food,13236,0.00017692,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Oral Hygiene,1,Food,19,0.00000025,201602
9999999999,ALL,2,Dry Grocery,1299,Military,8,Oral Hygiene,1,Food,4047,0.00005410,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,3032,0.00004053,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Baby Hygiene,1,Food,13,0.00000017,201602
9999999999,ALL,2,Dry Grocery,202,FSI,9,"Crackers, Cookies & Snack Bars",1,Food,53,0.00000071,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,11,Kitchen Items & Appliances,1,Food,8,0.00000011,201602
9999999999,ALL,2,Dry Grocery,202,FSI,9,Meat/Poultry/Seafood,1,Food,8098,0.00010824,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,4,Breakfast Foods - Shelf Stable,1,Food,35,0.00000047,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,Meat/Poultry/Seafood,1,Food,65,0.00000087,201602
9999999999,ALL,2,Dry Grocery,202,FSI,21,Toys,1,Food,142,0.00000190,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,23,Vegetables - Canned & Dried,1,Food,7158,0.00009568,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,14,Meat & Seafood - Canned,1,Food,235,0.00000314,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,7,Foil/Plastic Wrap & Bags/Plastic Containers,1,Food,160,0.00000214,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Coffee Creamers & Hot Chocolate Mix,1,Food,11,0.00000015,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Eggs,1,Food,83,0.00000111,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Heat & Eat Prepared Foods,1,Food,7977,0.00010663,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,22,Sugar/Sweeteners/Syrups,1,Food,219,0.00000293,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Candy & Gum,1,Food,268,0.00000358,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Fruit,1,Food,37331,0.00049900,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Milk,1,Food,1448,0.00001936,201602
9999999999,ALL,2,Dry Grocery,202,FSI,3,Bread & Baked Goods - Shelf Stable,1,Food,254,0.00000340,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Health Aids & Remedies,1,Food,127,0.00000170,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Health Aids & Remedies,1,Food,21,0.00000028,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,21,"Spices, Seasonings & Extracts",1,Food,1012,0.00001353,201602
9999999999,ALL,2,Dry Grocery,202,FSI,2,Automotive,1,Food,2571,0.00003437,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Coffee Creamers & Hot Chocolate Mix,1,Food,50,0.00000067,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,5355,0.00007158,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,"Charcoal, Logs & Accessories",1,Food,28,0.00000037,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Shaving Supplies,1,Food,1038,0.00001387,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Milk,1,Food,327,0.00000437,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Heat & Eat Prepared Foods,1,Food,335,0.00000448,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,14,Meat & Seafood - Canned,1,Food,4255,0.00005688,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,732,0.00000978,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Ice Cream & Frozen Yogurt,1,Food,7952,0.00010629,201602
9999999999,ALL,2,Dry Grocery,202,FSI,10,Household Maintenance Products,1,Food,1683,0.00002250,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Beer/Wine/Liquor/Cocktail Additives,1,Food,58316,0.00077950,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,353,0.00000472,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,231,0.00000309,201602
9999999999,ALL,2,Dry Grocery,1299,Military,3,Desserts,1,Food,3,0.00000004,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Health Aids & Remedies,1,Food,2056,0.00002748,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,2,Cheese,1,Food,19,0.00000025,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts & Whipped Cream Tub,1,Food,357,0.00000477,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,8,Condiments/Dips/Gravies/Sauces,1,Food,11,0.00000015,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Baby Food,1,Food,40,0.00000053,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,11,Heat & Eat - Canned or Packaged,1,Food,1166,0.00001559,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,7,Ice Cream & Frozen Yogurt,1,Food,141,0.00000188,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Eggs,1,Food,129,0.00000172,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Fruit,1,Food,12,0.00000016,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Heat & Eat Prepared Foods,1,Food,12,0.00000016,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,3,Books & Magazines,1,Food,234,0.00000313,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,11,Skin Creams & Lotions/Facial Cleansers,1,Food,2,0.00000003,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Household Cleaners & Supplies,1,Food,306,0.00000409,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,7,Foil/Plastic Wrap & Bags/Plastic Containers,1,Food,19,0.00000025,201602
9999999999,ALL,2,Dry Grocery,202,FSI,7,Chips/Pretzels/Popcorn,1,Food,3348,0.00004475,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Sanitary Protection & Feminine Hygiene,1,Food,9399,0.00012563,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,4,Juice,1,Food,3853,0.00005150,201602
9999999999,ALL,2,Dry Grocery,1299,Military,4,Breakfast Foods - Shelf Stable,1,Food,1,0.00000001,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Clothing & Undergarments,1,Food,151,0.00000202,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Heat & Eat Prepared Foods,1,Food,719,0.00000961,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Chips/Pretzels/Popcorn,1,Food,20,0.00000027,201602
9999999999,ALL,2,Dry Grocery,202,FSI,2,First Aid,1,Food,17,0.00000023,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Condiments/Dips/Gravies/Sauces,1,Food,136,0.00000182,201602
9999999999,ALL,2,Dry Grocery,202,FSI,1,Baby Food,1,Food,489,0.00000654,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Oral Hygiene,1,Food,64,0.00000086,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Shaving Supplies,1,Food,26,0.00000035,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,9,"Crackers, Cookies & Snack Bars",1,Food,491,0.00000656,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Meat/Poultry/Seafood,1,Food,749,0.00001001,201602
9999999999,ALL,2,Dry Grocery,202,FSI,5,Eggs,1,Food,189,0.00000253,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,Sanitary Protection & Feminine Hygiene,1,Food,90,0.00000120,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Ready to Eat Fruits & Salads,1,Food,234,0.00000313,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts,1,Food,276,0.00000369,201602
9999999999,ALL,2,Dry Grocery,1299,Military,8,Meal & Side Dish Mixes & Kits,1,Food,1074,0.00001436,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Fruit,1,Food,1687,0.00002255,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Grooming Accessories & Cosmetic Applicators,1,Food,1020,0.00001363,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Household Cleaners & Supplies,1,Food,29,0.00000039,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,7,"Hand Cleanser, Bath Soap & Body Wash",1,Food,1319,0.00001763,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Foil/Plastic Wrap & Bags/Plastic Containers,1,Food,792,0.00001059,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Butter & Margarine,1,Food,2224,0.00002973,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Baby Hygiene,1,Food,460,0.00000615,201602
9999999999,ALL,2,Dry Grocery,202,FSI,3,Desserts,1,Food,402,0.00000537,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,22,Trash Bags,1,Food,881,0.00001178,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,11,Heat & Eat - Canned or Packaged,1,Food,139,0.00000186,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,Vegetables,1,Food,20,0.00000027,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,"Hand Cleanser, Bath Soap & Body Wash",1,Food,35,0.00000047,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,14,Meat & Seafood - Canned,1,Food,47,0.00000063,201602
9999999999,ALL,2,Dry Grocery,202,FSI,5,Milk,1,Food,33159,0.00044323,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Heat & Eat Prepared Foods,1,Food,179,0.00000239,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,2,Automotive,1,Food,215,0.00000287,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Health Aids & Remedies,1,Food,4671,0.00006244,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,23,Vegetables - Canned & Dried,1,Food,4,0.00000005,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,8,Condiments/Dips/Gravies/Sauces,1,Food,24,0.00000032,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,Sanitary Protection & Feminine Hygiene,1,Food,88,0.00000118,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,22,Trash Bags,1,Food,81,0.00000108,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts,1,Food,71,0.00000095,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Heat & Eat Prepared Foods,1,Food,219,0.00000293,201602
9999999999,ALL,2,Dry Grocery,202,FSI,7,Heat & Eat Prepared Foods,1,Food,3162,0.00004227,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Sanitary Protection & Feminine Hygiene,1,Food,42,0.00000056,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,21,"Spices, Seasonings & Extracts",1,Food,926,0.00001238,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Baby Hygiene,1,Food,20550,0.00027469,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Eggs,1,Food,44,0.00000059,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Meat/Poultry/Seafood,1,Food,1012,0.00001353,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Heat & Eat Prepared Foods,1,Food,3580,0.00004785,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Condiments/Dips/Gravies/Sauces,1,Food,219,0.00000293,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,"Hand Cleanser, Bath Soap & Body Wash",1,Food,13,0.00000017,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,1,Baby Food,1,Food,1046,0.00001398,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,1,Beer/Wine/Liquor/Cocktail Additives,1,Food,1865,0.00002493,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Sanitary Protection & Feminine Hygiene,1,Food,5954,0.00007959,201602
9999999999,ALL,2,Dry Grocery,202,FSI,5,Clothing & Undergarments,1,Food,610,0.00000815,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Yogurt - Shakes & Drinks,1,Food,404,0.00000540,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,1,Air Fresheners & Candles,1,Food,10332,0.00013811,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts,1,Food,495,0.00000662,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Clothing & Undergarments,1,Food,633,0.00000846,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Vegetables,1,Food,49,0.00000065,201602
9999999999,ALL,2,Dry Grocery,202,FSI,5,Clothing & Undergarments,1,Food,23,0.00000031,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Shaving Supplies,1,Food,4974,0.00006649,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,2,Automotive,1,Food,3,0.00000004,201602
9999999999,ALL,2,Dry Grocery,1299,Military,5,Grooming Accessories & Cosmetic Applicators,1,Food,5316,0.00007106,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Coffee Creamers & Hot Chocolate Mix,1,Food,30,0.00000040,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Breakfast Foods,1,Food,107,0.00000143,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Fragrances & Gift Sets,1,Food,19,0.00000025,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts & Whipped Cream Tub,1,Food,3886,0.00005194,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Books & Magazines,1,Food,933,0.00001247,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,2,Coffee & Tea,1,Food,77,0.00000103,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,13,Light Bulbs & Batteries,1,Food,20,0.00000027,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Yogurt - Shakes & Drinks,1,Food,135,0.00000180,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Heat & Eat Prepared Foods,1,Food,1099,0.00001469,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,14,Meat & Seafood - Canned,1,Food,7,0.00000009,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,"Crackers, Cookies & Snack Bars",1,Food,1469,0.00001964,201602
9999999999,ALL,2,Dry Grocery,202,FSI,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,24,0.00000032,201602
9999999999,ALL,2,Dry Grocery,510,Handout Electronic Checkout,2,Coffee & Tea,1,Food,215,0.00000287,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Breakfast Foods - Shelf Stable,1,Food,80,0.00000107,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,Meat/Poultry/Seafood,1,Food,8,0.00000011,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Eggs,1,Food,211,0.00000282,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,13,Light Bulbs & Batteries,1,Food,15,0.00000020,201602
9999999999,ALL,2,Dry Grocery,202,FSI,5,Milk,1,Food,36963,0.00049408,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,10,Ready to Eat Fruits & Salads,1,Food,6,0.00000008,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,1521,0.00002033,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts & Whipped Cream Tub,1,Food,89,0.00000119,201602
9999999999,ALL,2,Dry Grocery,9999,Unknown,8,Meat/Poultry/Seafood,1,Food,194,0.00000259,201602
9999999999,ALL,2,Dry Grocery,1299,Military,9,Household Cleaners & Supplies,1,Food,7,0.00000009,201602
9999999999,ALL,2,Dry Grocery,202,FSI,4,Fruit,1,Food,139,0.00000186,201602
9999999999,ALL,2,Dry Grocery,1360,Print At Home,5,Clothing & Undergarments,1,Food,18,0.00000024,201602
9999999999,ALL,2,Dry Grocery,202,FSI,5,Candy & Gum,1,Food,251,0.00000336,201602
